Macrotrends Data Download,,,
,,,
India Suicide Rate 2000-2020,,,
,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
, Total, Male, Female
date, Total, Male, Female
31/12/2000,17.4,18.6,16
31/12/2005,17.6,18.1,17.1
31/12/2010,16.5,17.7,15.2
31/12/2015,16.5,18.5,14.9
31/12/2016,16.3,18,14.7
31/12/2016,17.95,21.2,14.7
31/12/2019,21.1,25.8,16.4
